method;train-function-calls;sum-wrong-classification;constraint-calls;metamodel-calls;fitness-function-calls;generations
WithoutMetaModel;0;0;4217;0;2808;24
WithoutMetaModel;0;0;1287;0;936;8
WithoutMetaModel;0;0;16589;0;9945;85
WithoutMetaModel;0;0;68988;0;40833;349
WithoutMetaModel;0;0;8671;0;5265;45
WithoutMetaModel;0;0;1167;0;819;7
WithoutMetaModel;0;0;19400;0;11700;100
WithoutMetaModel;0;0;17750;0;10530;90
WithoutMetaModel;0;0;9426;0;5850;50
WithoutMetaModel;0;0;14356;0;8658;74
WithoutMetaModel;0;0;18837;0;11349;97
WithoutMetaModel;0;0;8772;0;5499;47
WithoutMetaModel;0;0;29773;0;17784;152
WithoutMetaModel;0;0;8276;0;5148;44
WithoutMetaModel;0;0;9580;0;5850;50
WithoutMetaModel;0;0;4340;0;2808;24
WithoutMetaModel;0;0;14289;0;8541;73
WithoutMetaModel;0;0;34491;0;20709;177
WithoutMetaModel;0;0;11798;0;7137;61
WithoutMetaModel;0;0;6049;0;3744;32
WithoutMetaModel;0;0;5902;0;3744;32
WithoutMetaModel;0;0;1356;0;936;8
WithoutMetaModel;0;0;3372;0;2106;18
WithoutMetaModel;0;0;16885;0;10179;87
WithoutMetaModel;0;0;3207;0;1989;17
WithoutMetaModel;0;0;19398;0;11583;99
WithoutMetaModel;0;0;21511;0;12870;110
SVCSlidingWeighted;110;73;8239;5450;7441;0
SVCSlidingWeighted;93;71;7049;4600;6316;0
SVCSlidingWeighted;792;524;59139;39550;52518;0
SVCSlidingWeighted;199;124;14955;9900;13336;0
SVCSlidingWeighted;132;68;9909;6550;8851;0
SVCSlidingWeighted;402;265;30003;20050;26723;0
SVCSlidingWeighted;124;102;9312;6150;8343;0
SVCSlidingWeighted;812;573;60707;40550;53821;0
SVCSlidingWeighted;375;273;28048;18700;24885;0
SVCSlidingWeighted;97;71;7271;4800;6534;0
SVCSlidingWeighted;239;147;17928;11900;15950;0
SVCSlidingWeighted;340;283;25524;16950;22736;0
SVCSlidingWeighted;235;179;17574;11700;15715;0
SVCSlidingWeighted;72;45;5456;3550;4892;0
SVCSlidingWeighted;356;252;26597;17750;23599;0
SVCSlidingWeighted;276;177;20724;13750;18498;0
SVCSlidingWeighted;46;17;3459;2250;3198;0
SVCSlidingWeighted;843;543;62816;42100;55573;0
SVCSlidingWeighted;216;147;16239;10750;14373;0
SVCSlidingWeighted;115;84;8622;5700;7771;0
SVCSlidingWeighted;845;598;63239;42200;55956;0
SVCSlidingWeighted;137;80;10291;6800;9248;0
SVCSlidingWeighted;396;247;29671;19750;26381;0
SVCSlidingWeighted;51;37;3891;2500;3486;0
SVCSlidingWeighted;23;7;1755;1100;1642;0
SVCSlidingWeighted;20;6;1525;950;1444;0
SVCSlidingWeighted;154;74;11535;7650;10397;0
SVCSlidingWeighted;568;387;42402;28350;37606;0
SVCSlidingWeighted;82;46;6131;4050;5547;0
SVCSlidingWeighted;367;241;27552;18300;24468;0
SVCSlidingWeighted;7;4;528;300;508;0
SVCSlidingWeighted;41;23;3142;2000;2862;0
SVCSlidingWeighted;245;147;18401;12200;16393;0
SVCSlidingWeighted;283;197;21216;14100;18921;0
SVCSlidingWeighted;57;39;4257;2800;3819;0
SVCSlidingWeighted;123;90;9256;6100;8228;0
SVCSlidingWeighted;11;0;855;500;828;0
SVCSlidingWeighted;670;448;49897;33450;44272;0
SVCSlidingWeighted;130;66;9770;6450;8752;0
SVCSlidingWeighted;271;181;20265;13500;18166;0
SVCSlidingWeighted;51;36;3819;2500;3452;0
SVCSlidingWeighted;36;17;2751;1750;2504;0
SVCSlidingWeighted;180;117;13475;8950;12056;0
SVCSlidingWeighted;14;8;1051;650;970;0
SVCSlidingWeighted;506;373;37723;25250;33495;0
SVCSlidingWeighted;442;275;32888;22050;29340;0
SVCSlidingWeighted;487;365;36497;24300;32323;0
SVCSlidingWeighted;41;20;3106;2000;2815;0
SVCSlidingWeighted;54;28;4078;2650;3735;0
SVCSlidingWeighted;38;15;2889;1850;2668;0
SVCSlidingWeighted;138;102;10261;6850;9127;0
SVCSlidingWeighted;476;339;35695;23750;31804;0
SVCSlidingWeighted;45;22;3355;2200;3017;0
SVCSlidingWeighted;697;490;52179;34800;46357;0
SVCSlidingWeighted;148;87;11107;7350;9917;0
SVCSlidingWeighted;98;64;7366;4850;6581;0
SVCSlidingWeighted;145;83;10789;7200;9669;0
SVCSlidingWeighted;70;59;5325;3450;4788;0
SVCSlidingWeighted;193;128;14539;9600;13031;0
SVCSlidingWeighted;194;154;14673;9650;13123;0
SVCSlidingWeighted;162;102;12137;8050;10895;0
