method;train-function-calls;sum-wrong-classification;constraint-calls;metamodel-calls;fitness-function-calls;generations
SVCSlidingWeighted;814;688;49967;60975;52934;0
SVCSlidingWeighted;25;8;1555;1800;1691;0
SVCSlidingWeighted;229;179;14244;17100;15098;0
SVCSlidingWeighted;238;193;14607;17775;15459;0
SVCSlidingWeighted;149;106;9290;11100;9898;0
SVCSlidingWeighted;51;31;3151;3750;3346;0
SVCSlidingWeighted;187;128;11557;13950;12335;0
SVCSlidingWeighted;160;111;10037;11925;10730;0
SVCSlidingWeighted;228;174;14037;17025;14953;0
SVCSlidingWeighted;401;308;24730;30000;26285;0
SVCSlidingWeighted;116;73;7209;8625;7678;0
SVCSlidingWeighted;113;85;7078;8400;7571;0
SVCSlidingWeighted;60;31;3854;4425;4128;0
SVCSlidingWeighted;316;211;19445;23625;20719;0
SVCSlidingWeighted;104;76;6500;7725;6934;0
SVCSlidingWeighted;107;80;6650;7950;7074;0
SVCSlidingWeighted;74;50;4687;5475;5026;0
SVCSlidingWeighted;103;57;6522;7650;7018;0
SVCSlidingWeighted;29;17;1829;2100;1954;0
SVCSlidingWeighted;40;25;2552;2925;2739;0
SVCSlidingWeighted;181;142;11310;13500;12061;0
SVCSlidingWeighted;226;142;13853;16875;14804;0
SVCSlidingWeighted;281;221;17286;21000;18330;0
SVCSlidingWeighted;416;292;25869;31125;27548;0
SVCSlidingWeighted;55;41;3479;4050;3679;0
SVCSlidingWeighted;131;77;8183;9750;8728;0
SVCSlidingWeighted;6;0;445;375;475;0
SVCSlidingWeighted;37;24;2345;2700;2495;0
SVCSlidingWeighted;177;127;11104;13200;11821;0
SVCSlidingWeighted;92;62;5708;6825;6086;0
SVCSlidingWeighted;757;605;46692;56700;49626;0
SVCSlidingWeighted;63;35;3947;4650;4246;0
SVCSlidingWeighted;73;45;4645;5400;4993;0
SVCSlidingWeighted;122;85;7630;9075;8075;0
SVCSlidingWeighted;196;151;12109;14625;12928;0
SVCSlidingWeighted;36;35;2266;2625;2418;0
SVCSlidingWeighted;455;356;28035;34050;29866;0
SVCSlidingWeighted;121;89;7641;9000;8110;0
SVCSlidingWeighted;174;126;10764;12975;11439;0
SVCSlidingWeighted;101;72;6450;7500;6901;0
SVCSlidingWeighted;444;328;27329;33225;29154;0
SVCSlidingWeighted;70;48;4491;5175;4821;0
SVCSlidingWeighted;148;109;9192;11025;9782;0
SVCSlidingWeighted;147;104;9117;10950;9770;0
SVCSlidingWeighted;121;87;7536;9000;8030;0
SVCSlidingWeighted;159;125;10018;11850;10727;0
SVCSlidingWeighted;361;296;22142;27000;23551;0
SVCSlidingWeighted;377;280;23353;28200;24849;0
SVCSlidingWeighted;676;534;41561;50625;44203;0
SVCSlidingWeighted;120;90;7463;8925;7914;0
SVCSlidingWeighted;322;236;20059;24075;21367;0
SVCSlidingWeighted;452;385;27918;33825;29683;0
SVCSlidingWeighted;855;695;52612;64050;55890;0
SVCSlidingWeighted;257;224;15907;19200;16921;0
SVCSlidingWeighted;620;481;38178;46425;40650;0
SVCSlidingWeighted;46;31;2855;3375;3031;0
SVCSlidingWeighted;517;404;31952;38700;33997;0
SVCSlidingWeighted;166;144;10450;12375;11114;0
